file_name,source,split,column_name,data_type,description,original_or_derived,notes
norm_test_source2.parquet,source2,test,ad_alpha,string,Space-joined non-numeric address-core tokens,derived,STALE ON DISK
norm_test_source2.parquet,source2,test,ctry,string,Normalized country label,derived,"Open-set; test set includes France, which is absent from training and must not be hardcoded/filtered"
norm_test_source3.parquet,source3,test,entity_id,string,Unique record identifier; prefix S3- identifies the source,original,Unchanged from raw challenge TSV
norm_test_source3.parquet,source3,test,nm_full,string,Fully normalized business name (see norm_train_source1.parquet nm_full for full transformation description),derived,Reliable as-shipped
norm_test_source3.parquet,source3,test,nm_core,string,Name minus mined noise tokens,derived,STALE ON DISK - see docs/NORMALIZED_DATASET_CONTEXT.md section 5.4
norm_test_source3.parquet,source3,test,nm_compact,string,nm_core with spaces removed,derived,STALE ON DISK
norm_test_source3.parquet,source3,test,nm_skel,string,Consonant skeleton of nm_compact,derived,STALE ON DISK
norm_test_source3.parquet,source3,test,ad_full,string,Fully normalized address (see norm_train_source1.parquet ad_full for full transformation description),derived,Reliable as-shipped
norm_test_source3.parquet,source3,test,ad_core,string,Address minus mined noise tokens,derived,STALE ON DISK
norm_test_source3.parquet,source3,test,ad_num,string,Space-joined numeric address tokens,derived,STALE ON DISK
norm_test_source3.parquet,source3,test,ad_alpha,string,Space-joined non-numeric address-core tokens,derived,STALE ON DISK
norm_test_source3.parquet,source3,test,ctry,string,Normalized country label,derived,"Open-set; test set includes France, which is absent from training and must not be hardcoded/filtered"
train_ground_truth.parquet,ground_truth,train,source1_entity_id,string,The S1- entity ID this row's ground truth applies to,original,Unchanged from raw challenge TSV; format-converted only
train_ground_truth.parquet,ground_truth,train,matched_entity_ids,string,"Comma-separated list of matching S2-/S3- entity IDs; empty string means zero matches (singleton)",original,Unchanged raw string; not parsed into a list; not normalized
